"Region.Code","County.Name","Municipality","Location","Route.Carried.and.Reference.Marker","Owner","Year.Built","Date.Last.Inspected","SD.FO.Status","Condition.Rating"
1,"ALBANY","Albany  (City)","I787 SB RAMP & BROADWAY","787I SB to SMX EB","NYSDoT",1972,"10/10/2013","FO",4.361
1,"ALBANY","Albany  (City)","I787 NB TO DUNN BR RAMP  ","787NB TO SMX EB","NYSDoT",1973,"10/21/2013","FO",4.278
1,"ALBANY","Albany  (City)","0.4 MI S JCT RTS 20 & 85","85   85 11012007","NYSDoT",2008,"08/29/2014","N",6.867
1,"ALBANY","Albany  (City)","JCT I90 & RTE 85         ","85   85 11012021","NYSDoT",1968,"08/12/2014","FO",4.563
1,"ALBANY","Albany  (City)","JCT I90 & RTE 85         ","85   85 11012021","NYSDoT",1968,"08/12/2014","FO",4.641
1,"ALBANY","Albany  (City)","INT 23 ON I87            ","871  NORTHBOUND","NYS Thruway Authority",1954,"12/10/2013","FO",4.915
1,"ALBANY","Albany  (City)",".4MI N JCT 87I+WASH.AV.EX","87I  87I11081000","NYSDoT",1959,"06/12/2013","FO",5.266
1,"ALBANY","Albany  (City)",".4MI N JCT 87I+WASH AV.EX","87I  87I11081000","NYSDoT",1959,"06/12/2013","FO",5.313
1,"ALBANY","Albany  (City)","JCT I87 & RENSSELAER LAKE","87I  87I11081002","NYSDoT",1959,"04/01/2013","N",5.333
1,"ALBANY","Albany  (City)","JCT I87 & RENSSELAER LAKE","87I  87I11081002","NYSDoT",1959,"04/02/2013","FO",5.016
1,"ALBANY","Albany  (City)","RAMP SE OVER I90","87I  SB TO 90I E","NYSDoT",1989,"06/04/2013","N",5.903
1,"ALBANY","Albany  (City)","INT 23 ON I87            ","87I  SOUTHBOUND","NYS Thruway Authority",1954,"05/07/2013","FO",5.225
1,"ALBANY","Albany  (City)","3 MI SE EXIT 24 ON I87   ","87I X","NYS Thruway Authority",1952,"08/12/2014","N",5.585
1,"ALBANY","Albany  (City)",".56 MI SE EXIT 23 OF I87","87I X","NYS Thruway Authority",1954,"11/14/2013","N",4.845
1,"ALBANY","Albany  (City)",".1 MI N OF EXIT 24 OF I90","87I X SB RAMP","NYS Thruway Authority",1986,"10/02/2013","FO",5.324
1,"ALBANY","Albany  (City)","WATER TUNNEL","87I XX","City",1954,"07/17/2013","N",5.286
1,"ALBANY","Albany  (City)","EB EXIT 23 RAMP OF I87","87IX NB OFF RAMP","NYS Thruway Authority",1997,"11/13/2013","FO",5.639
1,"ALBANY","Albany  (City)","JCT US 9 & PATROON CREEK","9    9 11081025","NYSDoT",1971,"11/02/2013","N",4.819
1,"ALBANY","Albany  (City)","JCT RTE 9 & I90          ","9    9 11081028","NYSDoT",1971,"07/24/2014","FO",4.833
1,"ALBANY","Albany  (City)","DOWNTOWN ALBANY","9  X","NYSDoT",1969,"11/14/2013","FO",4.548
1,"ALBANY","Albany  (City)","JCT OF I90 & FULLER RD   ","90I  90I11011006","NYSDoT",1968,"07/10/2013","N",4.453
1,"ALBANY","Albany  (City)","JCT I90 & RTE 5          ","90I  90I11011023","NYSDoT",1968,"06/04/2013","N",4.984
1,"ALBANY","Albany  (City)","Jct I90 & Everett Rd","90I  90I11011034","NYSDoT",2006,"12/29/2014","N",6
1,"ALBANY","Albany  (City)","Jct I90 & Everett Rd.","90I  90I11011034","NYSDoT",2006,"12/29/2014","N",6.042
1,"ALBANY","Albany  (City)","1.3 MI SE JCT I90 & RT 5 ","90I  90I11011036","NYSDoT",2004,"08/29/2014","N",6.552
1,"ALBANY","Albany  (City)","0.5 MI NW JCT I90 & I787 ","90I  90I11013014","NYSDoT",1967,"04/23/2014","FO",4.986
1,"ALBANY","Albany  (City)","0.5 MI NW JCT I90 & I787 ","90I  90I11013014","NYSDoT",1967,"04/23/2014","FO",4.667
1,"ALBANY","Albany  (City)","0.6 MI NW JCT I90 & I787 ","90I  90I11013014","NYSDoT",1967,"05/13/2014","FO",4.667
1,"ALBANY","Albany  (City)","0.6 MI NW JCT I90 & I787 ","90I  90I11013014","NYSDoT",1967,"05/13/2014","FO",4.792
1,"ALBANY","Albany  (City)","0.3 MI NW JCT I90 & I787 ","90I  90I11013016","NYSDoT",1967,"10/28/2014","FO",4.167
1,"ALBANY","Albany  (City)","0.3 MI NW JCT I90 & I787 ","90I  90I11013016","NYSDoT",1968,"10/28/2014","FO",4.486
1,"ALBANY","Albany  (City)","JCT I90 & I787           ","90I  90I11013018","NYSDoT",1968,"12/17/2014","FO",5.016
1,"ALBANY","Albany  (City)","JCT I90 & I787           ","90I  90I11013018","NYSDoT",1967,"12/17/2014","FO",4.873
1,"ALBANY","Albany  (City)","JCT I90 & HUDSON RIVER   ","90I  90I11013020","NYSDoT",1968,"06/11/2014","N",4.042
1,"ALBANY","Albany  (City)","JCT I90 & HUDSON RIVER   ","90I  90I11013020","NYSDoT",1968,"05/08/2014","FO",5.047
1,"ALBANY","Albany  (City)","JCT I90 & HUDSON RIVER   ","90I  90I11013020","NYSDoT",1968,"05/08/2014","N",4.813
1,"ALBANY","Albany  (City)","JCT I90 & I787           ","90I EB TO 787I N","NYSDoT",1968,"11/25/2014","FO",4.381
1,"ALBANY","Albany  (City)","RAMP I90 EB OFF TO 9 NB  ","90I EB TO 9NB","NYSDoT",1972,"08/27/2013","FO",5.278
1,"ALBANY","Albany  (City)","JCT I90 & I787           ","90I WB TO 787I S","NYSDoT",1968,"11/25/2014","FO",4.094
1,"ALBANY","Albany  (City)","RAMP I90 WB OFF TO 9 SB  ","90I WB TO 9SB","NYSDoT",1972,"08/26/2013","FO",5.306
1,"ALBANY","Albany  (City)","I87 RAMP TO I90          ","910D 910D11011023","NYSDoT",1969,"05/06/2014","N",4.847
1,"ALBANY","Albany  (City)","JCT RTS 910D & 910F      ","910D 910D11011023","NYSDoT",1968,"08/29/2014","FO",4.328
1,"ALBANY","Albany  (City)","JCT I87 OVER I90","910F 910F11011007","NYSDoT",1986,"03/18/2013","N",5.531
1,"ALBANY","Albany  (City)","JCT I87 OVER I90","910F 910F11011007","NYSDoT",1985,"03/18/2013","N",5.578
1,"ALBANY","Albany  (City)","JCT I87 OVER I90","910F 910F11011008","NYSDoT",1987,"03/18/2013","N",5.938
1,"ALBANY","Albany  (City)","JCT I87 OVER I90","910F 910F11011008","NYSDoT",1987,"03/18/2013","N",5.641
1,"ALBANY","Albany  (City)","0.1 MI S JCT RT 9W & I787","9W   9W11012007","NYSDoT",1966,"06/05/2013","FO",4.328
1,"ALBANY","Albany  (City)","JCT OF US 9W & I787","9W   9W11012008","NYSDoT",1966,"06/16/2014","FO",4.391
1,"ALBANY","Albany  (City)",".7 MI S JCT US 9W & I787","9W   9W11051120","NYSDoT",1987,"07/01/2014","N",5.319
1,"ALBANY","Albany  (City)",".2 MI N JCT RTS 20 & 85  ","ACCESS CAMPUS RD","NYSDoT",2000,"08/05/2014","FO",6.639
1,"ALBANY","Albany  (City)",".5 MI N JCT SH 20 & SH 85","ACCESS CAMPUS RD","NYSDoT",2000,"08/11/2014","FO",6
1,"ALBANY","Albany  (City)","0.4 MI NW JCT 85 & 910D  ","ACCESS ROAD AB","State - Other",1963,"04/09/2014","N",4.391
1,"ALBANY","Albany  (City)","0.4 MI NW JCT 85 & 910D  ","ACCESS ROAD BA","State - Other",1963,"04/09/2014","SD",4.625
1,"ALBANY","Albany  (City)",".8 MI NE JCT SH 32 & I787","ALBANY CITY ST'S","City",1900,"10/04/2013","N",4.737
1,"ALBANY","Albany  (City)","JCT I90 & US 9","ALBANY-SHAKER RD","NYSDoT",1969,"08/20/2014","FO",4.778
1,"ALBANY","Albany  (City)","1.2 MI E JCT I90 & CR 156","CAMPUS CONNECTOR","NYSDoT",1968,"07/29/2014","FO",5.406
1,"ALBANY","Albany  (City)","0.8 MI NW JCT 85 & 910D  ","CAMPUS OUTER LOOP","State - Other",1963,"04/30/2013","N",4.969
1,"ALBANY","Albany  (City)","JCT ORANGE ST & I787 NB  ","CLINT AVE TO I787","NYSDoT",1970,"11/07/2014","FO",5.069
1,"ALBANY","Albany  (City)","JCT ORANGE ST & I787 SB  ","CLINTON AVE RAMP","NYSDoT",1970,"09/22/2014","FO",5.181
1,"ALBANY","Albany  (City)","1.4 MI SE JCT I90 & SH 5","CORP.WOODS BLVD","NYSDoT",1972,"08/27/2014","SD",4.528
1,"ALBANY","Albany  (City)","DOWNTOWN ALBANY","DUNN WB TO I787SB","NYSDoT",1973,"10/09/2013","FO",4.278
1,"ALBANY","Albany  (City)","E.S.PLAZA & SB I787","EM ST PLZA ARTERY","NYSDoT",1972,"12/20/2013","SD",3.792
1,"ALBANY","Albany  (City)","E.S.PLAZA RAMP & NB I787","EM ST PLZA ARTERY","NYSDoT",1972,"12/20/2013","SD",4.125
1,"ALBANY","Albany  (City)","EXIT 5 OF I90","EVERETT ROAD","NYSDoT",1965,"11/07/2013","FO",4.453
1,"ALBANY","Albany  (City)","1.1 MI E JCT I90 & S.H.85","EVERETT ROAD","NYSDoT",1965,"11/23/2013","N",5.672
1,"ALBANY","Albany  (City)","EXIT 24 THRUWAY TO I87 NB","FR I90EB TO I87NB","NYSDoT",1987,"03/18/2013","N",5.789
1,"ALBANY","Albany  (City)",".2 MI N JCT I90 + I87","FR I90WB TO I87NB","NYSDoT",1986,"07/23/2013","N",5.458
1,"ALBANY","Albany  (City)","I-87 SO.BD.TO I-90-EXIT 1","FROM 87I SO. BD.","NYSDoT",1987,"03/21/2013","N",5.394
1,"ALBANY","Albany  (City)","JCT I90 & HENRY JSON BLVD","HENRY JOHNSON BVD","NYSDoT",1971,"10/08/2014","N",5.361
1,"ALBANY","Albany  (City)","NORTHERN BLVD CITY ALBANY","HENRY JOHNSON BVD","City",1980,"04/29/2013","SD",4.542
1,"ALBANY","Albany  (City)","0.3 MI N JCT I90 & I787  ","I787 NB to I90 WB","NYSDoT",1968,"12/19/2014","SD",4.125
1,"ALBANY","Albany  (City)","I787 58 RAMP&BDWAY-ALBANY","I787 SB TO SMX WB","NYSDoT",1973,"07/11/2013","FO",4.093
1,"ALBANY","Albany  (City)","0.3 MI N JCT I90 & I787  ","I787 SB to I90 EB","NYSDoT",1968,"12/18/2014","FO",4.397
1,"ALBANY","Albany  (City)","JCT I787 & MONTGOMERY ST ","I787SB TO CLINTON","NYSDoT",1970,"11/06/2014","FO",4.319
1,"ALBANY","Albany  (City)","I787 NB OFF CLINTON AVE  ","I787TO CLINTONAV","NYSDoT",1970,"11/12/2014","FO",4.625
1,"ALBANY","Albany  (City)",".2 MI W JCT I90 & US 5   ","I90WB TO SH 85 SB","NYSDoT",1967,"05/13/2014","N",6
1,"ALBANY","Albany  (City)","0.8 MI S JCT RTS 20 & 85 ","KRUMKILL ROAD","NYSDoT",2000,"08/05/2014","FO",5.779
1,"ALBANY","Albany  (City)","LOUDONVILLE RD & I90 RAMP","LOUDONVILLE ROAD","NYSDoT",1970,"10/11/2013","N",4.542
1,"ALBANY","Albany  (City)","2.39MI NW INT23 ON I87   ","NEW SCOTLAND AVE","NYS Thruway Authority",1954,"05/15/2014","FO",5.181
1,"ALBANY","Albany  (City)","0.9 MI NE JCT RTS 9 & 5  ","NO MANNING BLVD","NYSDoT",1971,"06/18/2013","N",4.903
1,"ALBANY","Albany  (City)","JCT OF US 9 & SH 377","NORTHERN BLVD","NYSDoT",1970,"06/17/2013","FO",5.167
1,"ALBANY","Albany  (City)","ON RAMP E S PLAZA EXP EB ","ONRAMP TO SMX EB","NYSDoT",1969,"07/09/2013","FO",4.986
1,"ALBANY","Albany  (City)","GREEN- BROADWAY-QUAY CONN","QUAY STREET","NYSDoT",1969,"10/08/2014","FO",4.056
1,"ALBANY","Albany  (City)","N OF EXIT 24 OVER I90","RAMP 87IX SB","NYS Thruway Authority",1986,"09/17/2013","N",5.056
1,"ALBANY","Albany  (City)","RAMP I90 EB OFF TO 9 SB  ","RAMP 90EB TO 9SB","NYSDoT",1971,"11/21/2014","N",5.069
1,"ALBANY","Albany  (City)","RAMP 9 NB TO I90 E&WB    ","RAMP 9NB TO 90EB","NYSDoT",1971,"06/28/2013","FO",4.431
1,"ALBANY","Albany  (City)","RTE 9N & DRY GULLY-QUARRY","RAMP 9NB TO 90WB","NYSDoT",1971,"06/28/2013","FO",5.484
1,"ALBANY","Albany  (City)","NB RMP US9 & 20 O/HDSN RV","RAMP DUNN- NBI787","NYSDoT",1972,"12/04/2013","SD",4.222
1,"ALBANY","Albany  (City)","RTE 9S & DRY GULLY-QUARRY","RAMP I90WB TO 9SB","NYSDoT",1971,"07/01/2013","FO",4.986
1,"ALBANY","Albany  (City)",".2 MI W OF EXIT 24 TOLL  ","RAMP INT 24 EB","NYS Thruway Authority",1987,"07/09/2013","FO",5.099
1,"ALBANY","Albany  (City)","RAPP RD.OVER TWY.        ","RAPP ROAD OVER TW","NYS Thruway Authority",1986,"10/10/2013","FO",5.676
1,"ALBANY","Albany  (City)","RAMP RT 9 OFF TO I90 WB  ","RT9 NB TO 90I WB","NYSDoT",1972,"10/06/2014","FO",4.791
1,"ALBANY","Albany  (City)",".1 MI E JCT I90 & SH 85","SH 85 NB","NYSDoT",1967,"06/04/2014","N",6.067
1,"ALBANY","Albany  (City)",".3 MI W JCT I90 & US 5   ","SH 85 NB TO I90WB","NYSDoT",1967,"06/04/2014","N",6
1,"ALBANY","Albany  (City)",".1 MI W JCT I90 & SH 85","SH 85 SB","NYSDoT",1967,"05/13/2014","N",5.733
1,"ALBANY","Albany  (City)","SO MALL EXP OFF TO I787NB","SMX EB TO 787NB","NYSDoT",1973,"10/21/2013","FO",3.833
1,"ALBANY","Albany  (City)","ON RAMP I787 SB & MADISON","SMX EB TO 787SB","NYSDoT",1970,"07/11/2013","FO",4.593
1,"ALBANY","Albany  (City)","RAMP SO MALL EXPRESS WB  ","SO MALL EXP WBOFF","NYSDoT",1970,"07/09/2013","FO",4.819
1,"ALBANY","Albany  (City)","CITY OF ALBANY SOUTH MALL","SOUTH MALL EXP","NYSDoT",1976,"07/10/2013","N",5.141
1,"ALBANY","Albany  (City)","CITY OF ALBANY SOUTH MALL","SOUTH MALL EXP.","NYSDoT",1976,"07/10/2013","FO",4.891
1,"ALBANY","Albany  (City)","RAMP US 9 SB TO I90 EB","US 9 SB TO I90 EB","NYSDoT",1972,"09/30/2014","FO",4.94
1,"ALBANY","Albany  (City)","0.7 MI N JCT RTS 20 & 85 ","WASHINGTON AVENUE","NYSDoT",1962,"08/11/2014","FO",3.814
1,"ALBANY","Albany  (City)","0.2 MI NW JCT 85 & 910D  ","WASHINGTON AVENUE","State - Other",1963,"07/30/2014","SD",4.781
1,"ALBANY","Albany  (City)","0.7 MI NW JCT 85 & 910D  ","WASHINGTON AVENUE","State - Other",1963,"06/17/2014","FO",5.125
1,"ALBANY","Albany  (City)",".7 MI NW JCT SH85 & 910D","WASHINGTON AVENUE","State - Other",1963,"04/30/2013","FO",5.047
1,"ALBANY","Albany  (City)","1.1 MI S JCT I90 & I787  ","WATER STREET","NYSDoT",1970,"11/11/2014","N",3.931
1,"ALBANY","Albany  (City)","WASHINGTON AVE. EXT. OVER","Washington Ave.Ex","NYSDoT",2012,"03/21/2013","N",6.915
1,"ALBANY","Albany  (City)","Washington ave. ext. over","Washington Ave.Ex","NYSDoT",2012,"03/21/2013","N",6.915
1,"ALBANY","Berne  (Town)",".7 MI N JCT S H 443 & 156","156  156 11011006","NYSDoT",1964,"04/03/2014","N",4.589
1,"ALBANY","Berne  (Town)","5.7 MI SW JCT SH443&SH146","443  443 11021020","NYSDoT",1931,"06/24/2013","N",4.688
1,"ALBANY","Berne  (Town)","JCT SH 443 & SH 156","443  443 11021033","NYSDoT",1973,"07/07/2014","SD",4.333
1,"ALBANY","Berne  (Town)",".5 MI EAST OF EAST BERNE","443  443 11021073","NYSDoT",1963,"07/11/2013","N",5.524
1,"ALBANY","Berne  (Town)","HAMLET OF WEST BERNE     ","BRADT HOLLOW ROAD","County",1939,"10/20/2014","SD",4.638
1,"ALBANY","Berne  (Town)","1 MI S OF WEST BERNE","CANADAY HILL ROAD","County",1949,"03/05/2013","N",6.564
1,"ALBANY","Berne  (Town)",".8 MI WEST OF EAST BERNE","COUNTY ROAD 2","County",1992,"07/25/2013","N",5.316
1,"ALBANY","Berne  (Town)","1.5 MILES SW OF BERNE    ","COUNTY ROAD 9","County",1990,"07/26/2013","N",5.609
1,"ALBANY","Berne  (Town)","1.7 MI NW OF SOUTH BERNE ","GIFFORD HOLLOW RD","County",2008,"03/05/2013","N",7
1,"ALBANY","Berne  (Town)","1.3 MI NW OF SOUTH BERNE","GIFFORD HOLLOW RD","County",1932,"03/05/2013","N",5.029
1,"ALBANY","Berne  (Town)","1.8 MI SW OF HUNTERSLAND","HUNTERSLAND ROAD","County",1953,"04/07/2014","SD",4.543
1,"ALBANY","Berne  (Town)","2.0MI W OF EAST BERNE    ","KAEHLER LANE","Town",1978,"09/30/2014","N",5.754
1,"ALBANY","Berne  (Town)","1.9 M SW VILLAGE OF BERNE","RAVINE ROAD","County",1997,"07/26/2013","N",6.746
1,"ALBANY","Berne  (Town)","1.2MI SW OF BERNE        ","SICKLE HILL ROAD","County",1973,"05/20/2014","N",6.109
1,"ALBANY","Berne  (Town)","1.3 MI E OF WEST BERNE   ","SWITZKILL ROAD","County",1997,"09/19/2013","N",6.449
1,"ALBANY","Berne  (Town)","1 MI NW OF SOUTH BERNE","SWITZKILL ROAD","County",1988,"03/25/2013","N",6.64
1,"ALBANY","Bethlehem  (Town)",".6 MI SE JCT SH85 & SH140","140  140 11011011","NYSDoT",1969,"07/22/2014","N",4.547
1,"ALBANY","Bethlehem  (Town)","1.6 MI N JCT RT 144 & 396","144  144 11021063","NYSDoT",1947,"06/02/2014","N",5.524
1,"ALBANY","Bethlehem  (Town)",".5 MI SE JCT SH144 & 910A","144  144 11021100","NYSDoT",1930,"11/07/2013","FO",5.222
1,"ALBANY","Bethlehem  (Town)","2.0 MI SW JT RT 32 & 910A","32   32 11041150","NYSDoT",1991,"12/30/2014","N",5.366
1,"ALBANY","Bethlehem  (Town)","0.9 MI SW JT RT 32 & 910A","32   32 11041161","NYSDoT",1937,"09/05/2014","N",5
1,"ALBANY","Bethlehem  (Town)","JCT RTS 9W & 32          ","32   32 11041211","NYSDoT",1963,"06/05/2013","FO",5.063
1,"ALBANY","Bethlehem  (Town)",".1 MI N JCT SH 32 & SH144","32   32 11041221","NYSDoT",1996,"04/22/2013","N",6.286
1,"ALBANY","Bethlehem  (Town)","1.4 MI SW JCT 9W < 396   ","396  396 11011031","NYSDoT",1977,"03/27/2013","SD",4.76
1,"ALBANY","Bethlehem  (Town)",".7 MI SW JCT US9W & SH396","396  396 11011037","NYSDoT",1990,"10/18/2013","FO",5.958
1,"ALBANY","Bethlehem  (Town)","JCT RTE 396 & I87        ","396  396 11011064","NYS Thruway Authority",1952,"09/09/2014","FO",4.625
1,"ALBANY","Bethlehem  (Town)","JCT S H 85 & NORMANS KILL","85   85 11011225","NYSDoT",2001,"08/28/2013","N",6.297
1,"ALBANY","Bethlehem  (Town)","JCT.RTES 85<87I S.EXIT 24","85   85 11011240","NYSDoT",1964,"11/04/2014","FO",4.297
1,"ALBANY","Bethlehem  (Town)","EXIT 24 THRUWAY & RTE 9W ","87I X","NYS Thruway Authority",1952,"07/09/2014","N",4.634
1,"ALBANY","Bethlehem  (Town)","EXIT 22 OF I90           ","87I X","NYS Thruway Authority",1954,"07/23/2014","N",5.34
1,"ALBANY","Bethlehem  (Town)","EXIT 22 OF I90           ","87I X","NYS Thruway Authority",1954,"07/23/2014","N",5.491
1,"ALBANY","Bethlehem  (Town)","1.2 MI NW INT22 ON I87   ","87I X NORTHBOUND","NYS Thruway Authority",1954,"06/24/2013","N",4.761
1,"ALBANY","Bethlehem  (Town)","1.2 MI NW INT 22 ON I87  ","87I X SOUTHBOUND","NYS Thruway Authority",1954,"06/24/2013","N",4.901
1,"ALBANY","Bethlehem  (Town)","0.5 MI E JCT RT 9W & 910A","910A 910A11011030","NYS Thruway Authority",1952,"09/11/2013","N",5.306
1,"ALBANY","Bethlehem  (Town)","0.4 MI NE JCT RTS 85&910E","910E 910 11011003","NYSDoT",2005,"07/11/2013","N",6.907
1,"ALBANY","Bethlehem  (Town)"," 1 MI S.JCT 9W < 396     ","9W   9W11051052","NYSDoT",1976,"12/30/2014","SD",4.203
1,"ALBANY","Bethlehem  (Town)","0.9 MI N JCT RTS 9W & 396","9W   9W11051071","NYSDoT",1941,"06/16/2014","N",5.429
1,"ALBANY","Bethlehem  (Town)",".49 MI NW INT 22 ON I87  ","BEAVER DAM ROAD","NYS Thruway Authority",1954,"05/14/2013","FO",4.958
1,"ALBANY","Bethlehem  (Town)","1.8 MI NW EXIT 22 OF I90 ","CLAPPER RD","NYS Thruway Authority",1954,"08/06/2014","FO",5.437
1,"ALBANY","Bethlehem  (Town)","1.1 MI W OF SO BETHLEHEM","COUNTY ROAD 102","County",1934,"03/27/2013","N",5.067
1,"ALBANY","Bethlehem  (Town)","2.4 MILES NW OF SELKIRK","COUNTY ROAD 53","County",2004,"03/27/2013","N",6.931
1,"ALBANY","Bethlehem  (Town)","2.2 MI N OF SO BETHLEHEM ","COUNTY ROAD 55","County",1976,"09/20/2013","N",5
1,"ALBANY","Bethlehem  (Town)","1.8 MI N OF SELKIRK      ","COUNTY ROAD 55","County",1976,"04/01/2013","N",4
1,"ALBANY","Bethlehem  (Town)","1 MI SW OF SELKIRK","PICTUAY ROAD","County",1963,"03/19/2014","FO",4.766
1,"ALBANY","Bethlehem  (Town)","3.46MI NW INT 23 ON I87  ","RUSSELL ROAD","NYS Thruway Authority",1954,"04/23/2013","FO",4.887
1,"ALBANY","Bethlehem  (Town)",".1MI N OF SOUTH BETHLEHEM","SO.ALBANY RD CR53","County",1949,"06/06/2014","N",5.274
1,"ALBANY","Bethlehem  (Town)","3.11MI NW INT22 ON I87   ","WEMPLE ROAD","NYS Thruway Authority",1954,"03/28/2013","FO",5.775
1,"ALBANY","Coeymans  (Town)","1.5MI E OF JUN 32 & 143  ","143  143 11011094","NYSDoT",1912,"09/03/2014","N",6.474
1,"ALBANY","Coeymans  (Town)","SH 143 IN COEYMANS HOLLOW","143  143 11011129","NYSDoT",1985,"04/10/2013","N",4.873
1,"ALBANY","Coeymans  (Town)","2.6 MI W JCT RTS 9W & 143","143  143 11011148","NYSDoT",2003,"03/25/2013","N",6.771
1,"ALBANY","Coeymans  (Town)",".4 mi W Rt 9W","143 14311011136","NYSDoT",2014,"12/04/2014","N",7
1,"ALBANY","Coeymans  (Town)","0.7 MI S JCT RT 143 & 144","144  144 11021001","NYSDoT",1931,"03/25/2013","SD",4.344
1,"ALBANY","Coeymans  (Town)","0.2 MI N JCT RT 143 & 144","144  144 11021010","NYSDoT",2004,"06/02/2014","N",6.281
1,"ALBANY","Coeymans  (Town)","1.3 MI S JCT RTS 144 &396","144  144 11021035","NYSDoT",1998,"10/16/2014","N",6.048
1,"ALBANY","Coeymans  (Town)","1 MI N OF RAVENA         ","87I X","NYS Thruway Authority",1954,"09/09/2014","N",4.797
1,"ALBANY","Coeymans  (Town)","2.5 MILES NORTH OF RAVENA","87I X","NYS Thruway Authority",1954,"10/01/2014","N",4.521
1,"ALBANY","Coeymans  (Town)","1.5 MI S OF SELKIRK","87IX","NYS Thruway Authority",1958,"11/04/2013","N",4.359
1,"ALBANY","Coeymans  (Town)","1.1 MI S JCT RT 144 & 396","90I X","NYS Thruway Authority",1958,"06/06/2014","N",4.453
1,"ALBANY","Coeymans  (Town)","2.7 MILES NW OF RAVENA   ","90I X","NYS Thruway Authority",1956,"04/17/2013","SD",4.063
1,"ALBANY","Coeymans  (Town)","2.7 MIS JCT RTS 9W & 396 ","9W   9W11051035","NYSDoT",1985,"04/04/2013","N",5.073
1,"ALBANY","Coeymans  (Town)","0.2 MI N HAMLET OF ALCOVE","COUNTY ROAD 111","County",1993,"04/16/2013","N",5.254
1,"ALBANY","Coeymans  (Town)","IN HAMLET OF ALCOVE      ","COUNTY ROAD 111","County",1955,"04/22/2013","N",6.186
1,"ALBANY","Coeymans  (Town)",".2 MI SW HAMLET OF ALCOVE","COUNTY ROAD 111","County",1928,"05/09/2013","N",5.211
1,"ALBANY","Coeymans  (Town)","1.5 MI SE S BETHLEHEM    ","KRUGER ROAD","County",1970,"04/16/2014","FO",5.288
1,"ALBANY","Coeymans  (Town)",".1MI W of inters W/RT143","MARSHALL  ROAD","Town",1939,"11/05/2013","FO",5.043
1,"ALBANY","Coeymans  (Town)","1.0 MI SW OF SELKIRK     ","OLD RAVENA ROAD","County",1975,"04/02/2013","N",4.891
1,"ALBANY","Coeymans  (Town)","1 MILE NORTH OF RAVENA","OLD RAVENA ROAD","Railroad",2005,"10/09/2013","N",6.458
1,"ALBANY","Coeymans  (Town)","1 MILE SW OF SELKIRK","OLD RAVENA ROAD","Town",2011,"10/09/2013","N",6.944
1,"ALBANY","Coeymans  (Town)","3 MI W VILLAGE OF RAVENA ","THOMPKINS R CR106","County",1955,"05/01/2014","N",5.39
1,"ALBANY","Cohoes  (City)","0.4 MI N JCT RTS 32 & 470","32   32 11046018","NYSDoT",1933,"05/27/2014","N",4.105
1,"ALBANY","Cohoes  (City)","0.1 MI E JCT I787 + SH470","470  470 11012019","City",1994,"06/03/2014","N",5.903
1,"ALBANY","Cohoes  (City)","0.4 MI E JCT SH 32 & 470 ","470  470 11012021","City",1986,"06/03/2014","N",5.556
1,"ALBANY","Cohoes  (City)",".2 MI W JCT US 4 & SH 470","470  470 14011060","NYSDoT",1924,"07/14/2014","N",5.167
1,"ALBANY","Cohoes  (City)","CITY OF COHOES           ","BRIDGE AVENUE","City",2010,"09/12/2014","N",6.861
