"country","year","life_expectancy","population","income","four_regions"
"Brazil",1826,32,4990000,1130,"americas"
"Brazil",1827,32,5060000,1130,"americas"
"Brazil",1828,32,5140000,1130,"americas"
"Brazil",1829,32,5220000,1130,"americas"
"Brazil",1830,32,5300000,1140,"americas"
"Brazil",1831,32,5390000,1140,"americas"
"Brazil",1832,32,5470000,1140,"americas"
"Brazil",1833,32,5560000,1140,"americas"
"Brazil",1834,32,5650000,1150,"americas"
"Brazil",1835,32,5740000,1150,"americas"
"Brazil",1836,32,5830000,1150,"americas"
"Brazil",1837,32,5920000,1150,"americas"
"Brazil",1838,32,6010000,1160,"americas"
"Brazil",1839,32,6110000,1160,"americas"
"Brazil",1840,32,6210000,1160,"americas"
"Brazil",1841,32,6310000,1160,"americas"
"Brazil",1842,32,6400000,1170,"americas"
"Brazil",1843,32,6510000,1170,"americas"
"Brazil",1844,32,6610000,1170,"americas"
"Brazil",1845,32,6710000,1170,"americas"
"Brazil",1846,32,6820000,1180,"americas"
"Brazil",1847,32,6920000,1180,"americas"
"Brazil",1848,32,7030000,1180,"americas"
"Brazil",1849,32,7140000,1180,"americas"
"Brazil",1850,32,7250000,1190,"americas"
"Brazil",1851,32,7370000,1270,"americas"
"Brazil",1852,32,7480000,1230,"americas"
"Brazil",1853,32,7600000,1160,"americas"
"Brazil",1854,32,7720000,1120,"americas"
"Brazil",1855,32,7840000,1130,"americas"
"Brazil",1856,32,7960000,1170,"americas"
"Brazil",1857,32,8080000,1250,"americas"
"Brazil",1858,32,8210000,1330,"americas"
"Brazil",1859,32,8340000,1320,"americas"
"Brazil",1860,32,8470000,1360,"americas"
"Brazil",1861,32,8600000,1350,"americas"
"Brazil",1862,32,8730000,1280,"americas"
"Brazil",1863,32,8870000,1310,"americas"
"Brazil",1864,32,9020000,1330,"americas"
"Brazil",1865,32,9160000,1430,"americas"
"Brazil",1866,32,9320000,1480,"americas"
"Brazil",1867,32,9470000,1600,"americas"
"Brazil",1868,32,9630000,1600,"americas"
"Brazil",1869,32,9800000,1600,"americas"
"Brazil",1870,32,9960000,1490,"americas"
"Brazil",1871,32,10100000,1490,"americas"
"Brazil",1872,32,10300000,1540,"americas"
"Brazil",1873,32,10500000,1490,"americas"
"Brazil",1874,32,10700000,1520,"americas"
"Brazil",1875,32.1,10900000,1540,"americas"
"Brazil",1876,32.1,11100000,1480,"americas"
"Brazil",1877,32.1,11200000,1440,"americas"
"Brazil",1878,32.1,11500000,1510,"americas"
"Brazil",1879,32.1,11700000,1520,"americas"
"Brazil",1880,32.1,11900000,1450,"americas"
"Brazil",1881,32.1,12100000,1470,"americas"
"Brazil",1882,32.1,12300000,1500,"americas"
"Brazil",1883,32.2,12600000,1460,"americas"
"Brazil",1884,32.2,12800000,1560,"americas"
"Brazil",1885,32.2,13000000,1450,"americas"
"Brazil",1886,32.2,13300000,1500,"americas"
"Brazil",1887,32.2,13500000,1400,"americas"
"Brazil",1888,32.2,13800000,1340,"americas"
"Brazil",1889,32.2,14100000,1360,"americas"
"Brazil",1890,32.3,14400000,1490,"americas"
"Brazil",1891,32.3,14700000,1590,"americas"
"Brazil",1892,32.3,15100000,1370,"americas"
"Brazil",1893,32.3,15400000,1170,"americas"
"Brazil",1894,32.3,15800000,1170,"americas"
"Brazil",1895,32.3,16100000,1390,"americas"
"Brazil",1896,32.3,16500000,1260,"americas"
"Brazil",1897,32.4,16900000,1240,"americas"
"Brazil",1898,32.4,17300000,1270,"americas"
"Brazil",1899,32.4,17700000,1250,"americas"
"Brazil",1900,32.4,18100000,1200,"americas"
"Brazil",1901,32.4,18500000,1350,"americas"
"Brazil",1902,32.4,18900000,1310,"americas"
"Brazil",1903,32.4,19300000,1320,"americas"
"Brazil",1904,32.5,19800000,1300,"americas"
"Brazil",1905,32.5,20200000,1320,"americas"
"Brazil",1906,32.5,20600000,1460,"americas"
"Brazil",1907,32.5,21000000,1440,"americas"
"Brazil",1908,32.5,21500000,1370,"americas"
"Brazil",1909,32.5,21900000,1470,"americas"
"Brazil",1910,32.5,22400000,1490,"americas"
"Brazil",1911,32.5,22900000,1530,"americas"
"Brazil",1912,32.6,23400000,1590,"americas"
"Brazil",1913,32.6,23900000,1600,"americas"
"Brazil",1914,32.6,24400000,1530,"americas"
"Brazil",1915,32.6,24900000,1500,"americas"
"Brazil",1916,32.6,25400000,1470,"americas"
"Brazil",1917,32.6,26000000,1570,"americas"
"Brazil",1918,27.5,26500000,1490,"americas"
"Brazil",1919,32.7,27100000,1570,"americas"
"Brazil",1920,32.7,27700000,1720,"americas"
"Brazil",1921,32.7,28200000,1700,"americas"
"Brazil",1922,32.7,28800000,1780,"americas"
"Brazil",1923,32.7,29400000,1880,"americas"
"Brazil",1924,32.7,30000000,1850,"americas"
"Brazil",1925,32.8,30600000,1800,"americas"
"Brazil",1926,32.8,31200000,1830,"americas"
"Brazil",1927,32.8,31900000,1980,"americas"
"Brazil",1928,32.8,32500000,2140,"americas"
"Brazil",1929,32.8,33200000,2100,"americas"
"Brazil",1930,32.8,33900000,2000,"americas"
"Brazil",1931,33.3,34600000,1870,"americas"
"Brazil",1932,33.8,35300000,1900,"americas"
"Brazil",1933,34.3,36000000,2010,"americas"
"Brazil",1934,34.8,36800000,2130,"americas"
"Brazil",1935,35.3,37500000,2140,"americas"
"Brazil",1936,35.8,38300000,2330,"americas"
"Brazil",1937,36.3,39100000,2370,"americas"
"Brazil",1938,36.8,39900000,2410,"americas"
"Brazil",1939,37.3,40700000,2400,"americas"
"Brazil",1940,37.8,41500000,2310,"americas"
"Brazil",1941,38.9,42500000,2350,"americas"
"Brazil",1942,40.1,43500000,2210,"americas"
"Brazil",1943,41.3,44500000,2340,"americas"
"Brazil",1944,42.5,45600000,2450,"americas"
"Brazil",1945,43.7,46700000,2460,"americas"
"Brazil",1946,45.3,47800000,2660,"americas"
"Brazil",1947,46.9,48900000,2640,"americas"
"Brazil",1948,48.5,50100000,2810,"americas"
"Brazil",1949,50.1,51900000,2930,"americas"
"Brazil",1950,51.8,54000000,3030,"americas"
"Brazil",1951,52,55600000,3080,"americas"
"Brazil",1952,52.6,57300000,3190,"americas"
"Brazil",1953,53.1,59000000,3230,"americas"
"Brazil",1954,53.6,60800000,3370,"americas"
"Brazil",1955,54.2,62600000,3550,"americas"
"Brazil",1956,54.7,64400000,3520,"americas"
"Brazil",1957,55.2,66200000,3670,"americas"
"Brazil",1958,55.8,68200000,3940,"americas"
"Brazil",1959,56.3,70100000,4190,"americas"
"Brazil",1960,56.8,72200000,4440,"americas"
"Brazil",1961,57.4,74400000,4670,"americas"
"Brazil",1962,57.9,76600000,4830,"americas"
"Brazil",1963,58.4,78900000,4700,"americas"
"Brazil",1964,58.8,81200000,4710,"americas"
"Brazil",1965,59.3,83500000,4670,"americas"
"Brazil",1966,59.7,85800000,4840,"americas"
"Brazil",1967,60.1,88200000,4890,"americas"
"Brazil",1968,60.6,90600000,5220,"americas"
"Brazil",1969,61,92900000,5560,"americas"
"Brazil",1970,61.4,95300000,5940,"americas"
"Brazil",1971,61.8,97700000,6470,"americas"
"Brazil",1972,62.3,100000000,7090,"americas"
"Brazil",1973,62.7,103000000,7910,"americas"
"Brazil",1974,63.2,105000000,8370,"americas"
"Brazil",1975,63.6,108000000,8610,"americas"
"Brazil",1976,64.1,110000000,9280,"americas"
"Brazil",1977,64.6,113000000,9520,"americas"
"Brazil",1978,65.1,116000000,9770,"americas"
"Brazil",1979,65.5,118000000,10200,"americas"
"Brazil",1980,65.9,121000000,10900,"americas"
"Brazil",1981,66.3,124000000,10200,"americas"
"Brazil",1982,66.4,127000000,10100,"americas"
"Brazil",1983,66.6,130000000,9600,"americas"
"Brazil",1984,66.7,133000000,9930,"americas"
"Brazil",1985,67,136000000,10500,"americas"
"Brazil",1986,67.4,138000000,11100,"americas"
"Brazil",1987,67.7,141000000,11300,"americas"
"Brazil",1988,68,144000000,11100,"americas"
"Brazil",1989,68.4,147000000,11200,"americas"
"Brazil",1990,68.5,149000000,10300,"americas"
"Brazil",1991,68.8,152000000,10300,"americas"
"Brazil",1992,69,155000000,10100,"americas"
"Brazil",1993,69.2,157000000,10400,"americas"
"Brazil",1994,69.5,160000000,10800,"americas"
"Brazil",1995,69.7,162000000,11100,"americas"
"Brazil",1996,70,165000000,11100,"americas"
"Brazil",1997,70.4,168000000,11300,"americas"
"Brazil",1998,70.8,170000000,11200,"americas"
"Brazil",1999,71.1,173000000,11100,"americas"
"Brazil",2000,71.4,175000000,11400,"americas"
"Brazil",2001,71.8,178000000,11400,"americas"
"Brazil",2002,72.1,180000000,11600,"americas"
"Brazil",2003,72.4,182000000,11500,"americas"
"Brazil",2004,72.7,185000000,12100,"americas"
"Brazil",2005,73,187000000,12300,"americas"
"Brazil",2006,73.3,189000000,12600,"americas"
"Brazil",2007,73.5,191000000,13300,"americas"
"Brazil",2008,73.8,193000000,13800,"americas"
"Brazil",2009,74,195000000,13700,"americas"
"Brazil",2010,74.2,197000000,14500,"americas"
"Brazil",2011,74.4,199000000,15000,"americas"
"Brazil",2012,74.7,201000000,15100,"americas"
"Brazil",2013,74.9,202000000,15400,"americas"
"Brazil",2014,75,204000000,15400,"americas"
"Brazil",2015,75.2,206000000,14700,"americas"
"Brazil",2016,75.3,208000000,14000,"americas"
"Brazil",2017,75.5,209000000,14200,"americas"
"Brazil",2018,75.7,211000000,14300,"americas"
"China",1800,32,322000000,984,"asia"
"China",1801,32,324000000,984,"asia"
"China",1802,32,327000000,984,"asia"
"China",1803,32,330000000,984,"asia"
"China",1804,32,333000000,984,"asia"
"China",1805,32,336000000,984,"asia"
"China",1806,32,338000000,984,"asia"
"China",1807,32,341000000,984,"asia"
"China",1808,32,344000000,984,"asia"
"China",1809,32,347000000,985,"asia"
"China",1810,32,351000000,985,"asia"
"China",1811,32,353000000,985,"asia"
"China",1812,32,356000000,985,"asia"
"China",1813,32,359000000,985,"asia"
"China",1814,32,362000000,985,"asia"
"China",1815,32,365000000,985,"asia"
"China",1816,32,368000000,985,"asia"
"China",1817,32,371000000,985,"asia"
"China",1818,32,374000000,985,"asia"
"China",1819,32,377000000,985,"asia"
"China",1820,32,380000000,985,"asia"
"China",1821,32,383000000,985,"asia"
"China",1822,32,386000000,985,"asia"
"China",1823,32,388000000,985,"asia"
"China",1824,32,391000000,985,"asia"
"China",1825,32,393000000,985,"asia"
"China",1826,32,395000000,985,"asia"
"China",1827,32,397000000,985,"asia"
"China",1828,32,399000000,985,"asia"
"China",1829,32,401000000,985,"asia"
"China",1830,32,402000000,985,"asia"
"China",1831,32,404000000,985,"asia"
"China",1832,32,405000000,985,"asia"
"China",1833,32,406000000,985,"asia"
"China",1834,32,407000000,985,"asia"
"China",1835,32,408000000,985,"asia"
"China",1836,32,409000000,985,"asia"
"China",1837,32,410000000,985,"asia"
"China",1838,32,411000000,985,"asia"
"China",1839,32,411000000,985,"asia"
"China",1840,32,411000000,985,"asia"
"China",1841,32,411000000,1030,"asia"
"China",1842,32,411000000,1030,"asia"
"China",1843,32,411000000,999,"asia"
"China",1844,32,410000000,973,"asia"
"China",1845,32,409000000,979,"asia"
"China",1846,32,408000000,979,"asia"
"China",1847,32,407000000,986,"asia"
"China",1848,32,406000000,995,"asia"
"China",1849,32,404000000,992,"asia"
"China",1850,32,403000000,985,"asia"
"China",1851,31,401000000,975,"asia"
"China",1852,30,399000000,1020,"asia"
"China",1853,29,397000000,1010,"asia"
"China",1854,28,395000000,991,"asia"
"China",1855,27,393000000,983,"asia"
"China",1856,26,391000000,1010,"asia"
"China",1857,26.7,389000000,999,"asia"
"China",1858,27.4,386000000,1030,"asia"
"China",1859,28.1,384000000,1010,"asia"
"China",1860,28.9,381000000,1020,"asia"
"China",1861,29.6,379000000,1040,"asia"
"China",1862,30.3,376000000,1070,"asia"
"China",1863,31,374000000,1090,"asia"
"China",1864,31.7,372000000,1100,"asia"
"China",1865,31.7,371000000,1070,"asia"
"China",1866,31.8,369000000,1090,"asia"
"China",1867,31.8,368000000,1090,"asia"
"China",1868,31.9,367000000,1110,"asia"
"China",1869,31.9,366000000,1100,"asia"
"China",1870,32,366000000,1100,"asia"
"China",1871,32,365000000,1080,"asia"
"China",1872,32,365000000,1090,"asia"
"China",1873,32,364000000,1060,"asia"
"China",1874,32,364000000,1000,"asia"
"China",1875,32,365000000,1030,"asia"
"China",1876,29.4,365000000,1060,"asia"
"China",1877,27.4,366000000,1000,"asia"
"China",1878,25.1,366000000,1010,"asia"
"China",1879,28.4,368000000,1030,"asia"
"China",1880,31.9,369000000,1020,"asia"
"China",1881,31.9,370000000,1010,"asia"
"China",1882,31.9,371000000,1000,"asia"
"China",1883,31.9,372000000,1000,"asia"
"China",1884,31.9,373000000,977,"asia"
"China",1885,31.9,374000000,973,"asia"
"China",1886,31.9,376000000,959,"asia"
"China",1887,31.9,377000000,940,"asia"
"China",1888,31.9,378000000,945,"asia"
"China",1889,31.8,380000000,955,"asia"
"China",1890,31.8,381000000,918,"asia"
"China",1891,31.8,383000000,932,"asia"
"China",1892,31.8,385000000,916,"asia"
"China",1893,31.8,387000000,921,"asia"
"China",1894,31.8,388000000,911,"asia"
"China",1895,31.8,390000000,939,"asia"
"China",1896,31.8,392000000,895,"asia"
"China",1897,31.8,394000000,904,"asia"
"China",1898,31.8,397000000,875,"asia"
"China",1899,31.8,399000000,881,"asia"
"China",1900,31.8,401000000,893,"asia"
"China",1901,31.7,403000000,892,"asia"
"China",1902,31.7,405000000,922,"asia"
"China",1903,31.7,407000000,916,"asia"
"China",1904,31.7,410000000,935,"asia"
"China",1905,31.7,412000000,855,"asia"
"China",1906,31.7,414000000,897,"asia"
"China",1907,31.7,416000000,917,"asia"
"China",1908,31.7,419000000,945,"asia"
"China",1909,31.7,422000000,956,"asia"
"China",1910,31.7,425000000,990,"asia"
"China",1911,31.7,428000000,982,"asia"
"China",1912,31.6,433000000,937,"asia"
"China",1913,31.6,438000000,935,"asia"
"China",1914,31.6,443000000,946,"asia"
"China",1915,31.6,447000000,957,"asia"
"China",1916,31.6,452000000,967,"asia"
"China",1917,31.6,457000000,978,"asia"
"China",1918,22.1,462000000,989,"asia"
"China",1919,31.6,468000000,1000,"asia"
"China",1920,31.6,472000000,1010,"asia"
"China",1921,31.6,474000000,1020,"asia"
"China",1922,31.6,476000000,1020,"asia"
"China",1923,31.6,478000000,1030,"asia"
"China",1924,31.6,479000000,1030,"asia"
"China",1925,31.6,481000000,1040,"asia"
"China",1926,31.9,483000000,1040,"asia"
"China",1927,25.3,485000000,1050,"asia"
"China",1928,32.6,486000000,1050,"asia"
"China",1929,29.4,488000000,1060,"asia"
"China",1930,33.3,490000000,1060,"asia"
"China",1931,33.7,493000000,1050,"asia"
"China",1932,34,497000000,1060,"asia"
"China",1933,34.4,500000000,1050,"asia"
"China",1934,34.8,503000000,942,"asia"
"China",1935,35.2,506000000,1000,"asia"
"China",1936,35.6,509000000,1050,"asia"
"China",1937,33.4,511000000,1010,"asia"
"China",1938,33.3,514000000,974,"asia"
"China",1939,33.5,517000000,905,"asia"
"China",1940,33.7,520000000,842,"asia"
"China",1941,33.4,522000000,783,"asia"
"China",1942,31.4,525000000,728,"asia"
"China",1943,28.5,528000000,677,"asia"
"China",1944,34.3,531000000,630,"asia"
"China",1945,36.3,533000000,586,"asia"
"China",1946,37.8,536000000,571,"asia"
"China",1947,38.8,539000000,557,"asia"
"China",1948,39.3,542000000,543,"asia"
"China",1949,39.8,546000000,530,"asia"
"China",1950,40.7,554000000,536,"asia"
"China",1951,41.7,570000000,583,"asia"
"China",1952,42.6,582000000,632,"asia"
"China",1953,43.6,593000000,694,"asia"
"China",1954,45.5,602000000,696,"asia"
"China",1955,47,611000000,708,"asia"
"China",1956,49.3,620000000,738,"asia"
"China",1957,49.4,629000000,782,"asia"
"China",1958,49,638000000,892,"asia"
"China",1959,37.5,648000000,961,"asia"
"China",1960,30.9,658000000,891,"asia"
"China",1961,33.3,668000000,560,"asia"
"China",1962,43.5,680000000,569,"asia"
"China",1963,50.7,692000000,638,"asia"
"China",1964,52,706000000,715,"asia"
"China",1965,54.3,723000000,774,"asia"
"China",1966,55.4,741000000,829,"asia"
"China",1967,56.9,761000000,722,"asia"
"China",1968,57.9,782000000,671,"asia"
"China",1969,59.4,804000000,735,"asia"
"China",1970,61,825000000,851,"asia"
"China",1971,61.6,845000000,879,"asia"
"China",1972,62.1,866000000,846,"asia"
"China",1973,62.6,885000000,898,"asia"
"China",1974,63,904000000,892,"asia"
"China",1975,63.3,921000000,924,"asia"
"China",1976,62.8,937000000,896,"asia"
"China",1977,63.6,952000000,909,"asia"
